?????? ?????,Learn to control your anger
??????? ??????,Help others as much as you can
???? ?????????,Do not stop others from doing charitable deeds
?????? ?????????,Don't brag about your riches or talents
??????? ????????,Never lose hope or motivation
??? ??????? ??????,Do not despise numbers and letters (both are important to learn)
?????? ????????,Begging is disgraceful
???????? ???,Share with the needy before you eat
?????? ??????,Try to live and adapt to your changing world
?????? ???????,Never stop learning
??????? ??????,Do not talk bad about others due to jealousy
????? ??????????,Never cheat on weight when selling food grains
